+1 201:1 3148:1 3983:1 4882:1
-1 874:1 3652:1 3963:1 6179:1
-1 1331:1 3084:1 3957:1 4514:1
-1 643:1 1870:1 3957:1 4367:1
-1 96:1 3332:1 3956:1 6018:1
+1 1168:1 3318:1 3938:1 4481:1
+1 350:1 3082:1 3965:1 6122:1
-1 42:1 2145:1 3963:1 5876:1
-1 99:1 3057:1 3957:1 5838:1
-1 1005:1 3488:1 3957:1 4486:1
+1 690:1 2401:1 3956:1 6297:1
-1 1117:1 3481:1 3963:1 5784:1
-1 96:1 2977:1 3963:1 5090:1
+1 561:1 1676:1 3983:1 5335:1
-1 537:1 2677:1 3957:1 4047:1
+1 657:1 2248:1 3957:1 5378:1
-1 561:1 1550:1 3963:1 6171:1
+1 569:1 1863:1 3957:1 4080:1
-1 962:1 3033:1 3963:1 4048:1
-1 1252:1 2602:1 3957:1 5446:1
-1 1091:1 2845:1 3965:1 4569:1
+1 561:1 2728:1 3957:1 4483:1
-1 871:1 1880:1 3969:1 4048:1
-1 257:1 3012:1 3963:1 6467:1
-1 1011:1 3330:1 3965:1 5267:1
+1 96:1 3226:1 3957:1 4432:1
-1 1105:1 2528:1 3963:1 4208:1
-1 96:1 2977:1 3963:1 5756:1
-1 392:1 3495:1 3963:1 5579:1
-1 153:1 2688:1 3963:1 4368:1
-1 55:1 2911:1 3963:1 5416:1
+1 96:1 3753:1 3955:1 6238:1
-1 96:1 3530:1 3963:1 6460:1
-1 962:1 1880:1 3931:1 5117:1
-1 96:1 2463:1 3963:1 5004:1
-1 96:1 1768:1 3963:1 4376:1
-1 7:1 2000:1 3957:1 5004:1
-1 96:1 3278:1 3963:1 4656:1
+1 536:1 1673:1 3965:1 5730:1
+1 945:1 3592:1 3941:1 4328:1
-1 270:1 2558:1 3963:1 4789:1
+1 1252:1 1727:1 3983:1 4375:1
-1 959:1 1474:1 3963:1 5793:1
-1 657:1 2908:1 3955:1 4383:1
+1 96:1 2669:1 3955:1 4985:1
-1 536:1 3450:1 3963:1 5203:1
-1 771:1 3456:1 3935:1 6142:1
-1 153:1 3601:1 3963:1 4123:1
+1 393:1 1879:1 3932:1 6062:1
-1 88:1 1415:1 3955:1 5378:1
-1 480:1 2858:1 3963:1 5188:1
-1 490:1 3187:1 3963:1 6280:1
-1 561:1 2346:1 3963:1 5720:1
-1 657:1 2958:1 3983:1 5219:1
-1 7:1 1925:1 3955:1 6018:1
-1 4:1 2177:1 3963:1 5170:1
-1 687:1 1475:1 3963:1 5831:1
-1 469:1 3025:1 3963:1 5826:1
-1 157:1 2257:1 3963:1 5873:1
-1 82:1 2247:1 3963:1 5390:1
-1 962:1 1949:1 3963:1 5356:1
+1 379:1 2554:1 3957:1 4898:1
-1 96:1 2775:1 3963:1 4864:1
-1 561:1 1939:1 3963:1 4972:1
-1 510:1 2032:1 3955:1 6043:1
+1 721:1 2394:1 3941:1 4099:1
-1 577:1 3450:1 3963:1 5435:1
-1 1252:1 2725:1 3942:1 5275:1
-1 561:1 2221:1 3963:1 4636:1
+1 1184:1 3417:1 3965:1 4497:1
-1 1266:1 2158:1 3957:1 4775:1
-1 708:1 2032:1 3957:1 5945:1
-1 719:1 2048:1 3983:1 4930:1
-1 531:1 1929:1 3969:1 4419:1
-1 1026:1 2363:1 3963:1 6259:1
-1 1252:1 3047:1 3957:1 4036:1
+1 709:1 2959:1 3940:1 6629:1
-1 967:1 2703:1 3963:1 5764:1
+1 982:1 3050:1 3957:1 4644:1
+1 1117:1 2602:1 3957:1 5657:1
+1 1298:1 2195:1 3983:1 6030:1
-1 96:1 3061:1 3963:1 6624:1
-1 1085:1 3330:1 3965:1 5267:1
+1 34:1 3924:1 3952:1 6070:1
+1 919:1 3443:1 3959:1 5968:1
+1 75:1 3792:1 3957:1 5041:1
-1 157:1 3474:1 3957:1 6465:1
+1 146:1 3592:1 3942:1 4745:1
-1 600:1 2897:1 3963:1 6171:1
+1 131:1 2302:1 3959:1 5854:1
-1 1252:1 1440:1 3963:1 4734:1
+1 1032:1 1475:1 3943:1 5448:1
+1 909:1 2839:1 3957:1 5435:1
-1 1086:1 3642:1 3955:1 6097:1
-1 909:1 2688:1 3963:1 5598:1
+1 505:1 3314:1 3965:1 6324:1
+1 1369:1 2839:1 3955:1 6116:1
-1 430:1 3096:1 3963:1 5696:1
-1 600:1 3127:1 3963:1 5853:1
-1 96:1 3325:1 3963:1 4131:1
-1 1232:1 2444:1 3963:1 6465:1
-1 58:1 1422:1 3963:1 6308:1
-1 7:1 3697:1 3957:1 5605:1
-1 886:1 1583:1 3955:1 4775:1
-1 1344:1 3167:1 3963:1 6259:1
+1 1117:1 3566:1 3957:1 4416:1
+1 745:1 1591:1 3957:1 6287:1
-1 1288:1 2897:1 3963:1 6436:1
-1 741:1 3764:1 3963:1 4347:1
-1 436:1 2280:1 3957:1 5831:1
-1 1086:1 3267:1 3956:1 5652:1
-1 848:1 2158:1 3957:1 5860:1
+1 1252:1 1849:1 3957:1 5210:1
+1 839:1 3745:1 3957:1 5605:1
-1 431:1 3683:1 3965:1 5793:1
-1 96:1 3678:1 3963:1 5844:1
-1 1091:1 2602:1 3957:1 4322:1
-1 1279:1 3082:1 3963:1 6377:1
+1 570:1 1521:1 3941:1 5875:1
+1 1387:1 1475:1 3942:1 4208:1
-1 274:1 1949:1 3957:1 4771:1
+1 1005:1 3289:1 3957:1 5863:1
-1 1300:1 2688:1 3963:1 4322:1
+1 168:1 2977:1 3965:1 4356:1
+1 599:1 2788:1 3959:1 5358:1
-1 146:1 1475:1 3963:1 6171:1
+1 332:1 2167:1 3950:1 4103:1
-1 561:1 3853:1 3963:1 5111:1
-1 871:1 2913:1 3972:1 4096:1
-1 96:1 2091:1 3963:1 4168:1
-1 702:1 1612:1 3955:1 4554:1
-1 772:1 1769:1 3963:1 6128:1
-1 1219:1 2071:1 3963:1 4485:1
-1 858:1 2801:1 3956:1 5075:1
+1 1117:1 3310:1 3957:1 4929:1
-1 96:1 2016:1 3955:1 5075:1
+1 237:1 1504:1 3955:1 4438:1
-1 1331:1 1464:1 3983:1 5238:1
-1 1092:1 2648:1 3963:1 6203:1
+1 454:1 3646:1 3955:1 6438:1
-1 96:1 3142:1 3963:1 6104:1
+1 1385:1 3371:1 3957:1 4058:1
-1 146:1 1475:1 3963:1 6171:1
-1 1252:1 2995:1 3942:1 5361:1
+1 702:1 3172:1 3955:1 5390:1
+1 406:1 2427:1 3953:1 6563:1
+1 382:1 1639:1 3950:1 6464:1
-1 1209:1 1630:1 3955:1 6062:1
-1 96:1 2548:1 3963:1 4103:1
-1 1331:1 1527:1 3963:1 4721:1
-1 885:1 3070:1 3931:1 6331:1
+1 1206:1 3145:1 3953:1 6563:1
+1 439:1 2561:1 3950:1 5432:1
+1 561:1 2530:1 3965:1 5435:1
-1 1252:1 3091:1 3975:1 5416:1
+1 146:1 3450:1 3942:1 5817:1
+1 561:1 3595:1 3957:1 5620:1
+1 1198:1 2023:1 3969:1 5253:1
+1 1252:1 3364:1 3941:1 4854:1
-1 1385:1 2687:1 3963:1 4121:1
-1 394:1 1862:1 3948:1 5605:1
-1 949:1 2386:1 3963:1 6639:1
-1 974:1 3432:1 3963:1 4613:1
-1 96:1 3217:1 3965:1 5390:1
+1 657:1 2138:1 3957:1 4407:1
-1 875:1 2725:1 3942:1 6313:1
-1 657:1 3382:1 3963:1 5853:1
+1 666:1 3150:1 3973:1 5435:1
-1 96:1 2793:1 3963:1 4644:1
-1 1092:1 3482:1 3963:1 4715:1
+1 663:1 2641:1 3957:1 4367:1
-1 1005:1 2727:1 3981:1 5202:1
+1 1220:1 3371:1 3955:1 5295:1
-1 96:1 3362:1 3955:1 4993:1
-1 909:1 2897:1 3963:1 5275:1
